1,8
2,169
3,50
4,212
5,266
6,244
7,231
8,180
9,266
10,262
11,317
12,279
13,295
14,267
15,210
16,211
17,274
18,188
19,144
20,294
21,306
22,352
23,347
24,403
25,312
26,334
27,345
28,326
29,329
30,258
31,261
32,253
33,257
34,225
35,282
36,232
37,236
38,258
39,71
40,181
41,189
42,269
43,257
44,262
45,289
46,276
47,237
48,221
49,250
50,200
51,221
52,244
53,143
54,127
55,186
56,136
57,208
58,244
59,207
60,140
61,201
62,241
63,266
64,259
65,237
66,271
67,196
68,185
69,252
70,265
71,277
72,284
73,294
74,244
75,124
76,331
77,323
78,324
79,327
80,326
81,301
82,252
83,267
84,229
85,265
86,234
87,206
88,257
89,210
90,221
91,251
92,260
93,233
94,163
95,248
96,261
97,241
98,138
99,244
100,121
101,231
102,213
103,189
104,243
105,80
106,109
107,151
108,190
109,81
110,182
111,198
112,203
113,243
114,206
115,251
116,236
117,212
118,208
119,137
120,227
121,289
122,256
123,257
124,251
125,203
126,429
127,294
128,312
129,325
130,62
131,271
132,243
133,246
134,253
135,204
136,270
137,174
138,171
139,249
140,157
141,202
142,191
143,178
144,230
145,176
146,241
147,95
148,213
149,205
150,189
151,215
152,177
153,191
154,195
155,222
156,210
157,140
158,142
159,159
160,198
161,219
162,186
162,169
164,231
165,80
166,208
167,237
168,235
169,237
170,207
171,160
172,242
173,260
174,257
175,255
176,252
177,229
178,327
179,283
180,307
181,255
182,347
183,304
184,279
185,262
186,230
187,199
188,234
189,181
190,219
191,186
192,164
193,207
194,217
195,207
196,209
197,182
198,210
199,251
200,139
201,201
202,197
203,105
204,179
205,191
206,186
207,164
208,210
209,134
210,62
211,181
212,210
213,228
214,174
215,174
216,285
217,197
218,261
219,234
220,189
221,167
222,71
223,297
224,243
225,244
226,223
227,263
228,260
229,308
230,275
231,238
232,290
233,279
234,266
235,292
236,251
237,97
238,173
239,231
240,224
241,226
242,224
243,174
244,197
245,211
246,201
247,246
248,204
249,268
250,256
251,219
252,179
253,178
254,237
255,144
256,206
257,193
258,197
259,190
260,106
261,165
262,179
263,200
264,137
265,161
266,183
267,215
268,223
269,241
270,256
271,53
272,171
273,4
274,173
275,218
276,259
277,250
278,280
279,285
280,304
281,294
282,279
283,279
284,209
285,233
286,287
287,239
288,264
289,197
290,182
291,161
292,59
293,148
294,163
295,174
296,194
297,165
298,88
299,193
300,160
301,174
302,152
303,174
304,182
305,199
306,172
307,148
308,138
309,69
310,142
311,85
312,83
313,126
314,64
315,88
316,116
317,169
318,110
319,138
320,139
321,173
322,135
323,121
324,109
325,148
326,37
327,170
328,158
329,141
330,195
331,230
332,226
333,195
334,173
335,173
336,179
337,140
338,152
339,147
340,125
341,137
342,129
343,160
344,142
345,161
346,150
347,122
348,122
349,138
350,147
351,122
352,136
353,122
354,136
355,137
356,140
357,109
358,152
359,97
360,123
361,106
